generatedAt,sourceType,sourceTitle,sourceUrl,sourceDate,articleId,matchedHeroCount,emittedRowCount,confidence,notes
2026-05-21T23:47:19.390Z,official_patch_note,11.2d Hotfix,https://playeternalreturn.com/posts/news/3598?hl=en-US,2026-05-20T02:53:00.000000Z,3598,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,11.2c Hotfix,https://playeternalreturn.com/posts/news/3595?hl=en-US,2026-05-19T08:04:00.000000Z,3595,1,2,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,11.2b Hotfix,https://playeternalreturn.com/posts/news/3589?hl=en-US,2026-05-15T09:27:00.000000Z,3589,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,11.2a Hotfix,https://playeternalreturn.com/posts/news/3587?hl=en-US,2026-05-15T07:52:00.000000Z,3587,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",https://playeternalreturn.com/posts/news/3572?hl=en-US,2026-05-13T08:00:00.000000Z,3572,39,61,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,11.1b Hotfix,https://playeternalreturn.com/posts/news/3570?hl=en-US,2026-05-08T09:36:00.000000Z,3570,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,11.1a Hotfix,https://playeternalreturn.com/posts/news/3568?hl=en-US,2026-05-08T05:51:00.000000Z,3568,2,2,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 11.1 - MAY 7TH, 2026",https://playeternalreturn.com/posts/news/3555?hl=en-US,2026-05-06T08:00:00.000000Z,3555,5,7,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,11.0d Hotfix,https://playeternalreturn.com/posts/news/3554?hl=en-US,2026-05-04T09:07:00.000000Z,3554,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,11.0c Hotfix,https://playeternalreturn.com/posts/news/3549?hl=en-US,2026-05-01T08:31:00.000000Z,3549,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,11.0b Hotfix,https://playeternalreturn.com/posts/news/3547?hl=en-US,2026-04-30T12:40:00.000000Z,3547,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,11.0a Hotfix,https://playeternalreturn.com/posts/news/3544?hl=en-US,2026-04-30T11:27:00.000000Z,3544,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 11.0 PART 2: Characters & Items - APRIL 30TH, 2026",https://playeternalreturn.com/posts/news/3531?hl=en-US,2026-04-29T08:00:10.000000Z,3531,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 11.0 PART 1 - APRIL 30TH, 2026",https://playeternalreturn.com/posts/news/3530?hl=en-US,2026-04-29T08:00:00.000000Z,3530,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,10.7c Hotfix,https://playeternalreturn.com/posts/news/3511?hl=en-US,2026-04-17T06:10:00.000000Z,3511,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
