generatedAt,standardId,heroCode,heroKey,heroEnglishName,heroName,slot,rawChangeText,currentValueText,sourceType,sourceUrl,sourceTitle,sourceDate,language,confidence,notes
2026-05-21T23:47:19.390Z,bihyung.r.official_patch_3598.change_1,88,Bihyung,Bihyung,鼻荆,R,Let's Have a Blast!(R) Damage Taken Reduction 50% → 40%,40%,official_patch_note,https://playeternalreturn.com/posts/news/3598?hl=en-US,11.2d Hotfix,2026-05-20T02:53:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,bihyung.q.official_patch_3595.change_1,88,Bihyung,Bihyung,鼻荆,Q,Ttuk-ttak! (Q) Additional Damage 0/40/60/80/100(+Attack Power 10/20/30/40/50%) → 20/40/60/80/100 (+Attack Power 9/18/27/36/45%),20/40/60/80/100 (+Attack Power 9/18/27/36/45%),official_patch_note,https://playeternalreturn.com/posts/news/3595?hl=en-US,11.2c Hotfix,2026-05-19T08:04:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,bihyung.r.official_patch_3595.change_2,88,Bihyung,Bihyung,鼻荆,R,Let's Have a Blast! (R) Damage 200/350/500(+Extra Attack Power 180%)(+Target’s Max HP 10%) → 150/300/450(+Extra Attack Power 170%) (+Target’s Max HP 10%),150/300/450(+Extra Attack Power 170%) (+Target’s Max HP 10%),official_patch_note,https://playeternalreturn.com/posts/news/3595?hl=en-US,11.2c Hotfix,2026-05-19T08:04:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,bihyung.p.official_patch_3587.change_1,88,Bihyung,Bihyung,鼻荆,P,Dokkaebi Light(P) Damage 16/32/48(+Extra Attack Power 48%)(+Target’s Max HP 2.4/3.2/4%) → 16/32/48 (+Extra Attack Power 40%)(+Target’s Max HP 1/2/3%),16/32/48 (+Extra Attack Power 40%)(+Target’s Max HP 1/2/3%),official_patch_note,https://playeternalreturn.com/posts/news/3587?hl=en-US,11.2a Hotfix,2026-05-15T07:52:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,coraline.unknown.official_patch_3572.change_1,87,Coraline,Coraline,卡洛琳,,Damage Taken 96% → 100%,100%,official_patch_note,https://playeternalreturn.com/posts/news/3572?hl=en-US,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",2026-05-13T08:00:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,fenrir.unknown.official_patch_3572.change_1,86,Fenrir,Fenrir,芬里尔,,Damage Taken 93% → 95%,95%,official_patch_note,https://playeternalreturn.com/posts/news/3572?hl=en-US,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",2026-05-13T08:00:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,xuelin.p.official_patch_3572.change_1,82,Xuelin,Xuelin,雪琳,P,The Chosen One(P) HP Recovery 10/25/40(+Attack Power 30%) → 10/25/40 (+Attack Power 35%),10/25/40 (+Attack Power 35%),official_patch_note,https://playeternalreturn.com/posts/news/3572?hl=en-US,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",2026-05-13T08:00:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,xuelin.r.official_patch_3572.change_2,82,Xuelin,Xuelin,雪琳,R,Return of the Blades(R) Enhanced Energy Sword Damage 20/40/60(+Attack Power 15/25/35%) → 20/40/60 (+Attack Power 20/30/40%),20/40/60 (+Attack Power 20/30/40%),official_patch_note,https://playeternalreturn.com/posts/news/3572?hl=en-US,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",2026-05-13T08:00:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,niah.p.official_patch_3572.change_1,81,Niah,NiaH,妮娅,P,K.O.(P) Stored Damage per K.O. Stack 2/6/10(+Skill Amplification 2.5%) → 4/8/12(+Skill Amplification 3%),4/8/12(+Skill Amplification 3%),official_patch_note,https://playeternalreturn.com/posts/news/3572?hl=en-US,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",2026-05-13T08:00:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
2026-05-21T23:47:19.390Z,justyna.w.official_patch_3572.change_1,79,Justyna,Justyna,尤斯蒂娜,W,Full Blast(W) Damage 50/70/90/110/130(+Skill Amplification 35%) → 50/ 75/100/125/150 (+Skill Amplification 35%),50/ 75/100/125/150 (+Skill Amplification 35%),official_patch_note,https://playeternalreturn.com/posts/news/3572?hl=en-US,"[Edited] PATCH NOTES 11.2 - MAY 14TH, 2026",2026-05-13T08:00:00.000000Z,en,high_for_patch_delta,Official patch note change. Treat currentValueText as an override newer than older wiki snapshots when this sourceDate is later.
