generatedAt,heroCode,heroKey,heroEnglishName,heroName,slot,skillGroup,skillId,wikiSkillName,wikiDamageParts,wikiScalingText,wikiDescriptionDamageText,wikiSourceUrl,wikiSourceDate,candidateOfficialPatchCount,latestOfficialPatchDate,latestOfficialPatchTitle,latestOfficialPatchUrl,latestOfficialCurrentValueText,officialPatchCandidates,recommendedUse
2026-05-21T23:49:54.024Z,1,Jackie,Jackie,杰琪,P,1001100,None,Bloodfest,Bleeding Damage: 10 | Bleeding Damage: 20 | Bleeding Damage: 30 | Additional Damage to Bleeding Targets: 10 | Additional Damage to Bleeding Targets: 25 | Additional Damage to Bleeding Targets: 40 | Additional Damage Attack Power: 14% | Additional Damage Attack Power: 16% | Additional Damage Attack Power: 18%,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",https://eternalreturn.fandom.com/wiki/Jackie,2025-11-02T15:27:02Z,1,2026-01-21T08:00:10.000000Z,"PATCH NOTES 10.0 PART 2: Characters & Items - JANUARY 22ND, 2026",https://playeternalreturn.com/posts/news/3306?hl=en-US,10/15/20(+Attack Power 10%),[2026-01-21T08:00:10.000000Z] Bloodfest(P) Min Recovery 10/20/30(+Attack Power 15%)→ 10/15/20(+Attack Power 10%) <https://playeternalreturn.com/posts/news/3306?hl=en-US>,"Use wiki formula structure, then review newer official patch candidate(s) for numeric override."
2026-05-21T23:49:54.024Z,1,Jackie,Jackie,杰琪,W,1001300,JackieActive2,Crippler,Damage: 10 | Damage: 20 | Damage: 30 | Damage: 40 | Damage: 50,(+20% Extra Attack Power),"Jackie's next basic attack is enhanced, dealing 10(+20% Extra Attack Power) aditional skill damage and slowing targets by 60% for 0,85 seconds",https://eternalreturn.fandom.com/wiki/Jackie,2025-11-02T15:27:02Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
2026-05-21T23:49:54.024Z,2,Aya,Aya,阿雅,P,1002100,None,Aya's Justice,"Description Damage: When Aya is attacked, she gains a shield that blocks 50(+50% Attack Power)(+30% Skill Amp) damage for 1",(+30% Skill Amp) | (+50% Attack Power),"When Aya is attacked, she gains a shield that blocks 50(+50% Attack Power)(+30% Skill Amp) damage for 1",https://eternalreturn.fandom.com/wiki/Aya,2026-03-29T18:53:58Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
2026-05-21T23:49:54.024Z,3,Fiora,Fiora,菲欧娜,P,1003100,None,Touché,Damage: 20 | Damage: 60 | Damage: 100,(+40% Skill Amp),"Every time Fiora damages an enemy with a skill, she applies a stack of Touché to her enemy |  When enemies with 4 stacks of Touché are hit by a skill, they take additional 20(+40% Skill Amp) skill damage and Fiora's movement speed briefly increases by 15% for 2 seconds before slowing her",https://eternalreturn.fandom.com/wiki/Fiora,2025-09-30T15:15:02Z,1,2026-01-21T08:00:10.000000Z,"PATCH NOTES 10.0 PART 2: Characters & Items - JANUARY 22ND, 2026",https://playeternalreturn.com/posts/news/3306?hl=en-US,20/40/60(+Skill Amplification 25%),[2026-01-21T08:00:10.000000Z] Touché(P) HP Recovery 20/45/75(+Skill Amplification 35%) → 20/40/60(+Skill Amplification 25%) <https://playeternalreturn.com/posts/news/3306?hl=en-US>,"Use wiki formula structure, then review newer official patch candidate(s) for numeric override."
2026-05-21T23:49:54.024Z,3,Fiora,Fiora,菲欧娜,R,1003500,FioraActive4_1,Flèche,Damage: 100 | Damage: 150 | Damage: 200 | Third Damage: 160 | Third Damage: 260 | Third Damage: 360,(+50% Skill Amp) | (+80% Skill Amp),"Fiora attacks with a short dash in the targeted direction, dealing 100(+50% Skill Amp) skill damage and slowing enemies by 70% for 1 seconds |  The 3rd cast deals 160(+80% Skill Amp) skill damage and stuns the enemy for 0",https://eternalreturn.fandom.com/wiki/Fiora,2025-09-30T15:15:02Z,2,2025-10-17T09:52:00.000000Z,9.0a Hotfix,https://playeternalreturn.com/posts/news/3098?hl=en-US,100/160/220 (+Skill Amplification 45%),"[2025-10-17T09:52:00.000000Z] Flèche(R) 1st, 2nd Hit Damage 100/160/220(+Skill Amplification 40%) → 100/160/220 (+Skill Amplification 45%) <https://playeternalreturn.com/posts/news/3098?hl=en-US> || [2025-10-15T08:01:00.000000Z] Flèche(R) 1st, 2nd Hit Damage 100/160/220(+Skill Amplification 50%) → 100/160/220 (+Skill Amplification 40%) <https://playeternalreturn.com/posts/news/3085?hl=en-US>","Use wiki formula structure, then review newer official patch candidate(s) for numeric override."
2026-05-21T23:49:54.024Z,3,Fiora,Fiora,菲欧娜,W,1003300,FioraActive2,Attaque Composée,Damage: 40 | Damage: 75 | Damage: 110 | Damage: 145 | Damage: 180,(+30% Skill Amp),"Fiora swings her weapon twice in the targeted direction, dealing 40(+30% Skill Amp) skill damage per swing",https://eternalreturn.fandom.com/wiki/Fiora,2025-09-30T15:15:02Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
2026-05-21T23:49:54.024Z,7,Hyunwoo,Hyunwoo,玄佑,P,1007100,None,Dogfight,Damage: 40 | Damage: 70 | Damage: 100,(+35% Skill Amp) | (+40% Attack Power)," At 10 stacks, Hyunwoo's next attack deals extra 40(+40% Attack Power)(+35% Skill Amp) skill damage, restores his HP by 8%, and reduces the cooldown of Bluff by 2 seconds",https://eternalreturn.fandom.com/wiki/Hyunwoo,2026-02-05T18:29:35Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
2026-05-21T23:49:54.024Z,8,Hart,Hart,哈特,P,1008100,None,Feedback,"Description Damage: 2 sound waves are additionally released with every basic attack, dealing (3% Attack Power) * (Basic Attack Amp) basic attack damage |  If Hart deals damage to an enemy with a basic attack, she recovers 4 SP",(3% Attack Power),"2 sound waves are additionally released with every basic attack, dealing (3% Attack Power) * (Basic Attack Amp) basic attack damage |  If Hart deals damage to an enemy with a basic attack, she recovers 4 SP",https://eternalreturn.fandom.com/wiki/Hart,2025-10-02T04:01:13Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
2026-05-21T23:49:54.024Z,8,Hart,Hart,哈特,R,1008500,HartActive4,Peacemaker,Description Damage:  Targets whose HP drops below 10% can't take damage or recover HP,, Targets whose HP drops below 10% can't take damage or recover HP,https://eternalreturn.fandom.com/wiki/Hart,2025-10-02T04:01:13Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
2026-05-21T23:49:54.024Z,9,Isol,Isol,埃索,E,1009400,IsolActive3,Camouflage,Damage: 40 | Damage: 65 | Damage: 90 | Damage: 115 | Damage: 140,(+65% Skill Amp), Performing the first basic attack deals an additional 40(+65% Skill Amp) skill damage for 5 seconds,https://eternalreturn.fandom.com/wiki/Isol,2025-06-25T19:52:01Z,0,,,,,,Use wiki current snapshot; no newer same-slot official patch candidate was found.
