standardId,group,heroCode,heroKey,heroName,heroEnglishName,slot,skillId,passiveSkillId,skillName,skillType,icon,maxLevel,levels,levelCodes,hasIndicatorTable,extensionName,hasExtension,coefficientText,description,textSource,sourceFiles,sourceUpdatedAt
001-jackie-normal-attack-1001000,1001000,1,Jackie,杰琪,Jackie,,JackieNormalAttack,None,재키 기본 공격,NormalAttack,SkillIcon_9999999,1,1,1001001,true,JackieNormalAttackData,true,,,er-gamedata zh-CN fallback,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-combo-normal-attack-1001010,1001010,1,Jackie,杰琪,Jackie,,JackieNormalAttack_Combo,None,재키 기본 공격 - 콤보,ComboNormalAttack,SkillIcon_9999999,1,1,1001011,false,JackieSkillData,true,,,er-gamedata zh-CN fallback,SkillGroup.json|Skill.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-p-1001100,1001100,1,Jackie,杰琪,Jackie,P,None,JackiePassive,鲜血盛宴,Passive,SkillIcon_1001300,3,1|2|3,1001101|1001102|1001103,true,JackiePassiveData,true,杰琪使用普攻或技能造成伤害时，将在{0}秒内对敌人施加可以造成{1}(+攻击力{2})持续伤害的流血效果，最多可以叠加{3}层。 流血达到叠层上限或杰琪参与击杀实验体时，杰琪将进入持续{4}秒的分泌肾上腺素状态，此时每次对敌人造成普攻或者技能伤害时，将赋予敌人流血叠层上限，并造成{5}(+攻击力{6})的额外技能伤害，同时杰琪根据自身失去的体力恢复{7}(+攻击力{8}) ~ {9}(+攻击力{10})的体力。 当杰琪体力低于{11}时，将获得最大的体力恢复效果。,无消耗 杰琪使用普攻或技能造成伤害时，将赋予目标持续一段时间的流血叠层。 流血达到叠层上限或杰琪参与击杀实验体时，杰琪将进入分泌肾上腺素状态，此时每次对敌人造成普攻或者技能伤害时，将赋予敌人流血叠层上限，并造成额外技能伤害，同时杰琪根据自身失去的体力恢复体力。,dak.gg api zh-CN,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-q-1001200,1001200,1,Jackie,杰琪,Jackie,Q,JackieActive1,None,连斩,Active,SkillIcon_1001200,5,1|2|3|4|5,1001201|1001202|1001203|1001204|1001205,true,JackieActive1Data,true,杰琪朝着指定方向突进并挥动武器，造成{0}(+攻击力{1})(+目标当前体力{2})的技能伤害，并恢复所造成伤害{3}的体力。对达到流血叠层上限的目标将造成增加了{4}的伤害。 命中敌人时，杰琪可以在{5}秒内再次使用技能。,无消耗 / 冷却12秒 杰琪朝着指定方向突进并挥动武器，造成技能伤害，并根据造成的伤害恢复部分体力。对达到流血叠层上限的目标可以造成更高的伤害。 命中敌人时可以再次使用技能。,dak.gg api zh-CN,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-active-1001210,1001210,1,Jackie,杰琪,Jackie,,JackieActive1_2,None,连斩,Active,SkillIcon_1001210,5,1|2|3|4|5,1001211|1001212|1001213|1001214|1001215,true,JackieSkillData,true,,,er-gamedata zh-CN fallback,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-w-1001300,1001300,1,Jackie,杰琪,Jackie,W,JackieActive2,None,断筋,Active,SkillIcon_1001100,5,1|2|3|4|5,1001301|1001302|1001303|1001304|1001305,true,JackieActive2Data,true,杰琪下一次普攻得到了强化，额外造成{0}(+额外攻击力的{1})的技能伤害，同时使目标的移动速度减少{3}，持续{2}秒。,无消耗 / 冷却6秒 杰琪下一次普攻得到了强化，造成额外的技能伤害，并使目标的移动速度减缓。,dak.gg api zh-CN,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-mount-attack-1001310,1001310,1,Jackie,杰琪,Jackie,,JackieActive2Attack,None,재키 W - 강화 평타,MountAttack,SkillIcon_1001100,1,1,1001311,false,JackieSkillData,true,,,er-gamedata zh-CN fallback,SkillGroup.json|Skill.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-e-1001400,1001400,1,Jackie,杰琪,Jackie,E,JackieActive3,JackieActive3Passive,袭击,Active,SkillIcon_1001400,5,1|2|3|4|5,1001401|1001402|1001403|1001404|1001405,true,JackieActive3Data,true,被动 : 杰琪参与击杀实验体时，将重置袭击的冷却时间。使用普攻命中流血叠层上限的目标时，冷却时间减少{4}秒。 杰琪跃向指定位置，对周围敌人造成{0}(+攻击力{1})技能伤害。,无消耗 / 冷却16秒 被动 : 杰琪参与击杀实验体时，将重置袭击的冷却时间。使用普攻命中流血叠层上限的目标时，将减少冷却时间。 杰琪跃向指定位置，对周围敌人造成技能伤害。,dak.gg api zh-CN,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-r-1001500,1001500,1,Jackie,杰琪,Jackie,R,JackieActive4,None,电锯杀人狂,UltimateActive,SkillIcon_1001500,3,1|2|3,1001501|1001502|1001503,true,JackieActive4Data,true,杰琪挥出电锯，{0}秒内获得{1}移动速度和{2}攻击速度，参与击杀敌人实验体时，持续时间延长{3}秒。激活期间再次使用时，杰琪可以使用屠杀。 屠杀 : 杰琪全力挥舞电锯，根据敌人失去的体力造成{4}(+攻击力{5}) ~ {6}(+攻击力{7})的技能伤害，同时恢复所造成伤害{8}的体力。参与击杀实验体时，杰琪可以再次使用屠杀。,无消耗 / 冷却70秒 杰琪挥出电锯，提升移动速度和攻击速度，参与击杀敌人实验体时，将延长持续时间。激活期间再次使用时，杰琪可以使用屠杀。 屠杀 : 杰琪全力挥舞电锯，根据敌人失去的体力造成技能伤害，同时根据造成的伤害量恢复部分体力。参与击杀实验体时，杰琪可以再次使用屠杀。,dak.gg api zh-CN,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
001-jackie-ultimate-active-1001510,1001510,1,Jackie,杰琪,Jackie,,JackieActive4_2,None,屠杀,UltimateActive,SkillIcon_1001500,3,1|2|3,1001511|1001512|1001513,true,JackieSkillData,true,,,er-gamedata zh-CN fallback,SkillGroup.json|Skill.json|Skill_Indicator.json|SkillExtension.json,2026-05-21T12:00:17+09:00
